net_name,network_time,test_data_time,forward_time,load_time,accuracy,confusion_matrix
network3,0.0263427000027149,0.0409652999369427,0.7300747995031998,1.3222024005372075,99.32,"[[978, 0, 0, 0, 0, 0, 1, 1, 0, 0], [0, 1132, 1, 0, 0, 0, 1, 1, 0, 0], [1, 1, 1027, 0, 1, 0, 0, 2, 0, 0], [0, 0, 1, 1005, 0, 3, 0, 0, 1, 0], [0, 0, 0, 0, 976, 0, 5, 0, 0, 1], [2, 0, 0, 5, 0, 882, 1, 1, 1, 0], [1, 2, 0, 0, 1, 1, 953, 0, 0, 0], [0, 2, 4, 2, 0, 0, 0, 1018, 1, 1], [0, 0, 2, 1, 0, 2, 0, 1, 966, 2], [0, 2, 0, 1, 6, 3, 0, 2, 0, 995]]"
CNN_with_BN,0.0102921000216156,0.0052569999825209,0.8434920001309365,1.1283470992930231,99.38,"[[979, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 1134, 0, 0, 0, 0, 1, 0, 0, 0], [1, 1, 1025, 0, 0, 0, 0, 4, 1, 0], [0, 0, 1, 1006, 0, 2, 0, 0, 1, 0], [0, 0, 0, 0, 979, 0, 0, 0, 1, 2], [2, 0, 1, 4, 0, 883, 1, 0, 1, 0], [4, 1, 0, 0, 1, 4, 946, 0, 2, 0], [0, 3, 2, 0, 0, 0, 0, 1022, 0, 1], [1, 0, 1, 0, 0, 0, 0, 1, 969, 2], [1, 0, 0, 1, 4, 2, 0, 3, 3, 995]]"
dropout_simple_CNN,0.0012771000619977,0.0058174999430775,0.3394903998123482,1.3190724005689844,99.37,"[[975, 0, 1, 0, 0, 0, 3, 1, 0, 0], [0, 1133, 0, 0, 0, 1, 1, 0, 0, 0], [1, 1, 1028, 0, 0, 0, 0, 2, 0, 0], [0, 0, 1, 1004, 0, 4, 0, 0, 1, 0], [0, 0, 0, 0, 977, 0, 2, 0, 0, 3], [0, 0, 0, 3, 0, 888, 1, 0, 0, 0], [3, 2, 0, 0, 1, 1, 951, 0, 0, 0], [0, 2, 4, 0, 0, 0, 0, 1017, 1, 4], [1, 0, 1, 2, 0, 0, 0, 0, 969, 1], [0, 2, 0, 0, 5, 5, 0, 1, 1, 995]]"
dropout_lenet5,0.0012352000921964,0.0056396999862045,0.2845031999750063,1.2968009992036968,99.19,"[[978, 0, 0, 0, 0, 0, 0, 1, 1, 0], [0, 1131, 0, 1, 0, 0, 1, 1, 1, 0], [1, 2, 1020, 0, 2, 0, 0, 5, 2, 0], [0, 0, 1, 1002, 0, 3, 0, 2, 2, 0], [0, 0, 1, 0, 974, 0, 2, 0, 1, 4], [2, 0, 0, 4, 0, 885, 1, 0, 0, 0], [6, 3, 0, 0, 2, 1, 946, 0, 0, 0], [0, 3, 3, 0, 0, 1, 0, 1016, 1, 4], [2, 0, 1, 1, 0, 0, 0, 2, 967, 1], [0, 0, 0, 0, 2, 3, 0, 1, 3, 1000]]"
lenet5,0.0006861999863758,0.0059352000243961,0.3002820009132847,1.42986850021407,99.25,"[[975, 0, 0, 0, 0, 0, 2, 2, 1, 0], [1, 1130, 0, 0, 0, 1, 1, 0, 2, 0], [1, 0, 1028, 0, 1, 0, 0, 2, 0, 0], [0, 0, 2, 1003, 0, 2, 0, 1, 1, 1], [0, 0, 0, 0, 980, 0, 1, 0, 0, 1], [2, 0, 0, 3, 0, 881, 3, 0, 3, 0], [3, 2, 0, 0, 1, 4, 947, 0, 1, 0], [0, 2, 3, 0, 0, 0, 0, 1020, 1, 2], [3, 0, 2, 0, 0, 0, 0, 0, 968, 1], [0, 0, 0, 0, 8, 2, 0, 3, 3, 993]]"
lenet4,0.0007979999063536,0.0056049000704661,0.2445507013471797,1.2992569986963645,99.09,"[[977, 0, 0, 0, 0, 0, 1, 1, 1, 0], [1, 1132, 0, 1, 0, 1, 0, 0, 0, 0], [0, 0, 1025, 1, 0, 0, 0, 4, 2, 0], [1, 0, 0, 1004, 0, 2, 0, 2, 1, 0], [0, 0, 0, 0, 978, 0, 1, 0, 0, 3], [1, 0, 0, 6, 0, 883, 2, 0, 0, 0], [3, 3, 0, 0, 1, 6, 944, 0, 1, 0], [0, 2, 2, 1, 0, 0, 0, 1021, 0, 2], [2, 1, 1, 3, 1, 2, 0, 1, 962, 1], [0, 4, 0, 2, 9, 4, 0, 4, 3, 983]]"
simplified_lenet5,0.0008977999677881,0.0046507000224664,0.2512199991615489,1.0639134001685306,98.89,"[[976, 1, 0, 0, 0, 0, 1, 0, 2, 0], [0, 1125, 1, 4, 2, 1, 1, 0, 1, 0], [0, 1, 1019, 0, 2, 0, 0, 5, 5, 0], [1, 1, 2, 994, 0, 6, 0, 4, 2, 0], [0, 0, 0, 0, 978, 0, 1, 0, 1, 2], [0, 0, 0, 3, 0, 884, 3, 1, 1, 0], [3, 2, 0, 0, 4, 3, 942, 0, 4, 0], [0, 3, 0, 0, 2, 0, 0, 1021, 1, 1], [2, 0, 2, 0, 0, 2, 0, 2, 963, 3], [1, 0, 0, 0, 12, 3, 0, 3, 3, 987]]"
dilated_lenet5,0.0006689999718219,0.0057649000082165,0.2761896995361894,1.3100627009989694,98.94,"[[975, 0, 0, 0, 0, 0, 1, 1, 3, 0], [0, 1130, 1, 0, 0, 0, 1, 0, 3, 0], [0, 1, 1027, 0, 0, 0, 0, 2, 2, 0], [0, 0, 0, 993, 0, 7, 0, 7, 2, 1], [0, 0, 0, 0, 974, 0, 4, 0, 0, 4], [0, 1, 0, 3, 0, 883, 2, 1, 1, 1], [2, 1, 0, 0, 1, 1, 952, 0, 1, 0], [0, 1, 4, 0, 0, 0, 0, 1022, 0, 1], [1, 0, 4, 0, 1, 2, 1, 2, 958, 5], [2, 1, 1, 1, 11, 3, 0, 9, 1, 980]]"
lenet1,0.0004336000420153,0.005761899985373,0.2009381994139403,1.4853745003929362,98.44,"[[971, 1, 0, 0, 0, 2, 3, 1, 0, 2], [0, 1126, 1, 1, 1, 1, 2, 1, 2, 0], [1, 1, 1020, 0, 0, 0, 0, 5, 4, 1], [0, 0, 2, 999, 0, 0, 0, 4, 2, 3], [0, 0, 1, 0, 971, 0, 4, 1, 0, 5], [1, 0, 1, 10, 0, 874, 3, 1, 1, 1], [3, 2, 1, 1, 1, 3, 946, 0, 1, 0], [0, 3, 9, 0, 0, 0, 0, 1012, 1, 3], [2, 0, 2, 4, 3, 6, 2, 3, 950, 2], [3, 3, 1, 5, 11, 4, 0, 6, 1, 975]]"
400-300-10,0.0023514999775215,0.0049408000195398,0.0726274000480771,1.0339591001393271,98.34,"[[973, 0, 1, 0, 0, 0, 2, 1, 2, 1], [0, 1122, 3, 1, 0, 1, 2, 1, 4, 1], [3, 1, 1015, 0, 1, 0, 2, 7, 3, 0], [0, 0, 3, 996, 0, 3, 0, 2, 1, 5], [1, 0, 3, 0, 966, 0, 3, 2, 0, 7], [2, 0, 0, 4, 1, 876, 2, 1, 4, 2], [4, 3, 2, 1, 4, 3, 940, 0, 1, 0], [1, 1, 7, 2, 1, 0, 0, 1007, 3, 6], [3, 0, 2, 2, 2, 3, 2, 3, 953, 4], [2, 2, 0, 4, 7, 2, 2, 4, 0, 986]]"
