test_data_time,train_data_time,net_name,network_time,epoch,lr,train_time
1.0437219000887126,0.0701540999580174,network3,0.008216599933803,26,0.005-0.005,882.7010770998895
1.0886401999741793,0.0479890999849885,CNN_with_BN,0.0105721999425441,29,0.005-0.005,1396.3853305999655
1.8336817000526933,0.0292309999931603,dropout_CNN,0.0017339999321848,12,0.005-0.005,441.10795710003
1.6550348999444395,0.0272095000836998,dropout_lenet5,0.0019561999943107,28,0.005-0.005,931.0596423000096
1.720043000066653,0.0315600999165326,lenet5,0.0012179999612271,29,0.005-0.005,856.7463654000312
1.6654837999958545,0.0273533000145107,lenet4,0.0006283998955041,16,0.005-0.005,494.2406345999334
1.4602822000160811,0.0286102001555264,simplified_lenet5,0.0006833001971244,21,0.005-0.005,578.7346958001144
1.3169465002138168,0.0267183999530971,dilated_lenet5,0.0007133998442441,28,0.005-0.005,616.3738265000284
1.4726736000739038,0.0265695000998675,lenet1,0.0004461000207811,16,0.005-0.005,342.9757014999632
1.0726173999719322,0.0253256000578403,400-300-10,0.0018422999419271,29,0.005-0.005,460.2976417001337
1.1001211002003402,0.0257065999321639,400-10,0.0016678001265972,29,0.005-0.005,437.7134576998651
1.053018300095573,0.029171000001952052,128-10,0.0006073999684303999,26,0.005-0.005,384.1179303000681
